customer id,channel,Nearest_distance_cosco,Net Sales,Age,children count,Transaction_date,Martial status,Region,Loyality_flag,coupon amount,Customer_type,Race_cd,payment,Brands,Income,Orders groceries,Orders_cerials,Orders_chokolates,Orders dentals,Orders cosmetics,Orders_ready_eat,Orders_braverage,Orders_frozen,Loyality_amt,segments
5102,Email,4,367941,58,4,2017-09-19,0,San Diego,0,6,consumer,asian,visa, Mondelez International,4628,6,10,1,6,3,7,4,0,335,6
3549,Email,33,171305,98,1,2017-02-17,0,Atlanta,0,43,consumer,black,Ewallet, Dean Foods Co,4074,7,8,0,3,5,4,10,8,446,5
5885,direct,28,173439,18,2,2017-06-06,0,Tampa–St. Petersburg,0,42,Homeoffice,white,visa, Compagnie Financiere Richemont SA*,4910,5,5,8,9,3,7,5,0,49,6
7381,store,40,997988,87,3,2016-09-23,0,Seattle,1,38,Homeoffice,Native,cash, Arcelik A,3297,5,0,8,1,2,7,7,7,280,3
2713,direct,5,898554,31,2,2017-01-20,0,Seattle,0,24,Busines,Hispanic,Mastercard, L’Oréal*,4940,4,5,10,5,10,8,9,0,89,3
2289,Email,26,946906,36,2,2016-03-09,0,Houston,0,13,Homeoffice,spanish,Ewallet, Compagnie Financiere Richemont SA*,4749,7,2,7,5,7,1,1,9,103,3
4232,store,32,105199,24,4,2016-04-27,1,Boston,1,21,Busines,Native,Amex, Constellation Brands,3661,1,3,0,1,1,7,1,10,47,6
4220,Mobile,45,264729,13,1,2017-07-31,0,Houston,0,7,Homeoffice,asian,Ewallet, San Miguel Corp,3297,10,1,4,4,0,0,4,9,28,5
5378,direct,47,973706,18,4,2016-01-11,0,Chicago,1,36,consumer,asian,Amex, Danone*,4922,4,4,7,10,1,9,4,9,405,6
3104,Mobile,16,703844,20,4,2016-08-06,0,Tampa–St. Petersburg,1,48,Busines,black,Amex, ITC Ltd,4248,2,2,9,4,2,1,2,9,474,4
4986,Mobile,4,678986,87,2,2016-09-28,0,Minneapolis–St. Paul,0,1,Homeoffice,black,Ewallet, Colgate-Palmolive Co,3209,1,10,6,4,1,4,0,3,53,6
4951,Email,14,476689,61,1,2017-10-01,1,Tampa–St. Petersburg,0,34,Busines,asian,Amex, BSH Hausgeräte,3004,7,7,9,10,10,9,7,10,224,1
3929,store,33,494776,85,4,2017-01-19,1,Los Angeles,0,15,Homeoffice,Native,Amex, Hershey Co,3532,1,0,5,8,8,7,10,5,404,1
4213,Email,8,325954,22,4,2016-12-28,1,Minneapolis–St. Paul,1,41,Busines,Hispanic,Mastercard, Imperial Brands PLC,3015,9,0,3,1,7,1,2,0,174,5
3022,Mobile,46,11083,91,2,2016-06-23,0,Baltimore,0,35,consumer,asian,Ewallet, Spectrum Brands Holdings,4645,6,8,4,5,0,4,8,9,194,6
3120,direct,15,24937,90,4,2017-08-02,0,Riverside–San Bernardino,0,43,consumer,black,cash, PT Gudang Garam*,4634,0,8,6,4,4,3,6,2,378,1
